For Account:,####1742,,,,,,,
,,,,,,,,
TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
,,,,,,,,
1/15/20,Transfer,UNKNOWN, ,0,500,0,0,ACH DEPOSIT                   REFID:36126146482;
1/29/20,Bought,EQ,AAPL,1,-326.43,326.4346,0,APPLE INC
2/13/20,Dividend,EQ,AAPL,0,0.77,0,0,APPLE INC                     CASH DIV  ON       1 SHS      REC 02/10/20 PAY 02/13/20
5/14/20,Dividend,EQ,AAPL,0,0.82,0,0,APPLE INC                     CASH DIV  ON       1 SHS      REC 05/11/20 PAY 05/14/20
6/11/20,Bought,EQ,UAL,3,-99.92,33.305,0,UNITED AIRLINES HOLDINGS INC  COMMON STOCK                  ^B
6/11/20,Bought,EQ,MCD,1,-187.63,187.625,0,MCDONALDS CORP                ^B
6/11/20,Transfer,UNKNOWN, ,0,1000,0,0,ACH DEPOSIT                   REFID:47431707482;
6/12/20,Bought,EQ,VOO,1,-276.64,276.6401,0,VANGUARD S&P 500 ETF          PROSPECTUS ON INITIAL PURCHASE^B
6/15/20,Sold,EQ,UAL,-3,107.96,35.99,0,UNITED AIRLINES HOLDINGS INC  COMMON STOCK                  ^S
6/16/20,Bought,EQ,LOGI,2,-121.88,60.94,0,***LOGITECH INTERNATIONAL SA  ^B
6/16/20,Bought,EQ,LUV,3,-109.97,36.655,0,SOUTHWEST AIRLINES CO         ^B
6/17/20,Bought,EQ,WORK,3,-98.15,32.7151,0,SLACK TECHNOLOGIES INC        CLASS A COMMON STOCK          ^B
6/17/20,Bought,EQ,BABA,1,-223.67,223.67,0,***ALIBABA GROUP HOLDING LTD  SPONSORED ADR                 ^B
6/22/20,Bought,EQ,LUV,2,-69.18,34.5887,0,SOUTHWEST AIRLINES CO         ^B
6/22/20,Sold,EQ,VOO,-1,286.58,286.5903,0,VANGUARD S&P 500 ETF          ^S
6/23/20,Sold,EQ,LOGI,-2,126.47,63.24,0,***LOGITECH INTERNATIONAL SA  ^S
6/24/20,Bought,EQ,LUV,3,-97.85,32.615,0,SOUTHWEST AIRLINES CO         ^B
6/26/20,Bought,EQ,LUV,2,-63.51,31.7545,0,SOUTHWEST AIRLINES CO         ^B
6/29/20,Bought,EQ,LUV,2,-66.3,33.15,0,SOUTHWEST AIRLINES CO         ^B
7/2/20,Bought,EQ,SBH,6,-79.05,13.175,0,SALLY BEAUTY HOLDINGS INC     ^B
7/8/20,Bought,EQ,UAL,4,-128.39,32.0987,0,UNITED AIRLINES HOLDINGS INC  COMMON STOCK                  ^B
7/9/20,Bought,EQ,SBH,1,-12.23,12.225,0,SALLY BEAUTY HOLDINGS INC     ^B
7/9/20,Bought,EQ,UAL,2,-61.77,30.8857,0,UNITED AIRLINES HOLDINGS INC  COMMON STOCK                  ^B
7/10/20,Sold,EQ,WORK,-3,101.15,33.7198,0,SLACK TECHNOLOGIES INC        CLASS A COMMON STOCK          ^S
7/14/20,Bought,EQ,DAL,3,-78.45,26.15,0,DELTA AIR LINES INC DEL       COM                           ^B
7/16/20,Sold,EQ,MCD,-1,190.7,190.705,0,MCDONALDS CORP                ^S
7/20/20,Bought,EQ,MAR,2,-178.49,89.245,0,MARRIOTT INTERNATIONAL        CLASS A                       ^B
7/30/20,Bought,EQ,SBH,2,-23.43,11.715,0,SALLY BEAUTY HOLDINGS INC     ^B
8/13/20,Transfer,UNKNOWN, ,0,400,0,0,ACH DEPOSIT                   REFID:52223355482;
8/13/20,Dividend,EQ,AAPL,0,0.82,0,0,APPLE INC                     CASH DIV  ON       1 SHS      REC 08/10/20 PAY 08/13/20
8/21/20,Bought,EQ,UAL,2,-66.55,33.275,0,UNITED AIRLINES HOLDINGS INC  COMMON STOCK                  ^B
8/21/20,Bought,EQ,SBH,2,-23.67,11.835,0,SALLY BEAUTY HOLDINGS INC     ^B
8/27/20,Bought,EQ,SBH,1,-11.91,11.905,0,SALLY BEAUTY HOLDINGS INC     ^B
8/28/20,Bought,EQ,LOGI,1,-72.04,72.04,0,***LOGITECH INTERNATIONAL SA  ^B
8/31/20,Bought,EQ,AAPL,3,0,0,0,APPLE INC                     STK SPLIT ON       1 SHS      REC 08/24/20 PAY 08/28/20     ^B
9/2/20,Bought,EQ,AAL,5,-64.74,12.9475,0,AMERICAN AIRLINES GROUP INC   ^B
9/4/20,Bought,EQ,AAPL,1,-116.45,116.445,0,APPLE INC                     ^B
9/9/20,Bought,EQ,GM,1,-32.58,32.575,0,GENERAL MOTORS COMPANY        ^B
9/22/20,Dividend,EQ,LOGI,0,-0.3,0,0,***LOGITECH IN Foreign Stk W/HCASH DIV  ON       1 SHS      REC 09/21/20 PAY 09/22/20     FRGN-W/H@SOURCE
9/22/20,Dividend,EQ,LOGI,0,0.87,0,0,***LOGITECH INTERNATIONAL SA  CASH DIV  ON       1 SHS      REC 09/21/20 PAY 09/22/20     FRGN-W/H@SOURCE
10/16/20,Sold,EQ,GM,-1,33.35,33.3617,0,GENERAL MOTORS COMPANY
10/22/20,Sold,EQ,AAL,-5,65.96,13.194,0,AMERICAN AIRLINES GROUP INC
10/26/20,Bought,EQ,MAR,1,-95.59,95.5867,0,MARRIOTT INTERNATIONAL        CLASS A
11/12/20,Dividend,EQ,AAPL,0,1.03,0,0,APPLE INC                     CASH DIV  ON       5 SHS      REC 11/09/20 PAY 11/12/20
11/16/20,Bought,EQ,BABA,1,-259.88,259.88,0,***ALIBABA GROUP HOLDING LTD  SPONSORED ADR
11/16/20,Transfer,UNKNOWN, ,0,300,0,0,ACH DEPOSIT                   REFID:6762603906;
11/27/20,Sold,EQ,MAR,-3,383.98,127.996,0,MARRIOTT INTERNATIONAL        CLASS A
12/1/20,Bought,EQ,BABA,1,-263.62,263.62,0,***ALIBABA GROUP HOLDING LTD  SPONSORED ADR
12/1/20,Bought,EQ,DAL,2,-80.49,40.245,0,DELTA AIR LINES INC DEL       COM
12/1/20,Bought,EQ,UAL,1,-45.54,45.535,0,UNITED AIRLINES HOLDINGS INC  COMMON STOCK
1/21/21,Bought,EQ,UAL,1,-41.85,41.8464,0,UNITED AIRLINES HOLDINGS INC  COMMON STOCK
1/25/21,Sold,EQ,SBH,-12,176.99,14.75,0,SALLY BEAUTY HOLDINGS INC
1/28/21,Bought,EQ,AAL,3,-53.25,17.75,0,AMERICAN AIRLINES GROUP INC
2/2/21,Bought,EQ,LOGI,1,-109.66,109.66,0,***LOGITECH INTERNATIONAL SA
2/3/21,Sold,EQ,LUV,-12,561.14,46.7635,0,SOUTHWEST AIRLINES CO
2/4/21,Bought,EQ,LOGI,1,-109.52,109.519,0,***LOGITECH INTERNATIONAL SA
2/10/21,Bought,EQ,LOGI,1,-115.5,115.5,0,***LOGITECH INTERNATIONAL SA
2/11/21,Bought,EQ,LOGI,1,-118.25,118.25,0,***LOGITECH INTERNATIONAL SA
2/11/21,Dividend,EQ,AAPL,0,1.03,0,0,APPLE INC                     CASH DIV  ON       5 SHS      REC 02/08/21 PAY 02/11/21
2/22/21,Bought,EQ,BABA,1,-255.29,255.29,0,***ALIBABA GROUP HOLDING LTD  SPONSORED ADR
4/7/21,Sold,EQ,AAL,-3,72.15,24.0537,0,AMERICAN AIRLINES GROUP INC
5/7/21,Bought,EQ,TUP,2,-53.9,26.95,0,TUPPERWARE BRANDS CORPORATION
5/13/21,Dividend,EQ,AAPL,0,1.1,0,0,APPLE INC                     CASH DIV  ON       5 SHS      REC 05/10/21 PAY 05/13/21
5/14/21,Fee,EQ,BABA,0,-0.08,0,0,***ALIBABA GROUP HOLDING LTD  SPONSORED ADR                 ADR CUSTODY FEE               APRIL 2021
7/15/21,Transfer,UNKNOWN, ,0,1000,0,0,ACH DEPOSIT                   REFID:29838418906;
7/16/21,Bought,EQ,TUP,5,-102.25,20.45,0,TUPPERWARE BRANDS CORPORATION
7/16/21,Bought,EQ,LOGI,1,-119.17,119.17,0,***LOGITECH INTERNATIONAL SA
7/16/21,Bought,EQ,NTDOY,3,-219.2,70.75,6.95,***NINTENDO CO LTD-ADR NEW
7/16/21,Sold,EQ,BABA,-4,857.59,214.4,0,***ALIBABA GROUP HOLDING LTD  SPONSORED ADR
7/19/21,Bought,EQ,TUP,5,-94.75,18.95,0,TUPPERWARE BRANDS CORPORATION
7/19/21,Bought,EQ,NTDOY,2,-145.4,69.225,6.95,***NINTENDO CO LTD-ADR NEW
7/23/21,Bought,EQ,TUP,1,-20.21,20.21,0,TUPPERWARE BRANDS CORPORATION
7/23/21,Bought,EQ,NTDOY,1,-75.6,68.65,6.95,***NINTENDO CO LTD-ADR NEW
7/26/21,Bought,EQ,UAL,1,-48.4,48.3981,0,UNITED AIRLINES HOLDINGS INC  COMMON STOCK
7/26/21,Bought,EQ,NTDOY,2,-142.71,67.88,6.95,***NINTENDO CO LTD-ADR NEW
7/27/21,Bought,EQ,BABA,1,-180.09,180.0891,0,***ALIBABA GROUP HOLDING LTD  SPONSORED ADR
7/30/21,Bought,EQ,NTDOY,3,-199.79,64.28,6.95,***NINTENDO CO LTD-ADR NEW
8/5/21,Bought,EQ,NTDOY,8,-506.95,62.5,6.95,***NINTENDO CO LTD-ADR NEW
8/10/21,Bought,EQ,NTDOY,8,-461.59,56.83,6.95,***NINTENDO CO LTD-ADR NEW
8/10/21,Transfer,UNKNOWN, ,0,500,0,0,ACH DEPOSIT                   REFID:31848145906;
8/12/21,Dividend,EQ,AAPL,0,1.1,0,0,APPLE INC                     CASH DIV  ON       5 SHS      REC 08/09/21 PAY 08/12/21
8/17/21,Bought,EQ,TUP,2,-45.58,22.7892,0,TUPPERWARE BRANDS CORPORATION
10/1/21,Dividend,EQ,LOGI,0,-1.99,0,0,***LOGITECH IN Foreign Stk W/HCASH DIV  ON       6 SHS      REC 09/21/21 PAY 09/22/21     FRGN-W/H@SOURCE
10/1/21,Dividend,EQ,LOGI,0,5.69,0,0,***LOGITECH INTERNATIONAL SA  CASH DIV  ON       6 SHS      REC 09/21/21 PAY 09/22/21     FRGN-W/H@SOURCE
11/11/21,Dividend,EQ,AAPL,0,1.1,0,0,APPLE INC                     CASH DIV  ON       5 SHS      REC 11/08/21 PAY 11/11/21
11/26/21,Transfer,UNKNOWN, ,0,500,0,0,ACH DEPOSIT                   REFID:40475036906;
11/29/21,Bought,EQ,VOO,1,-426.73,426.73,0,VANGUARD S&P 500 ETF          PROSPECTUS ON INITIAL PURCHASE
12/16/21,Dividend,EQ,NTDOY,0,-1.48,0,0,***NINTENDO CO LTD-ADR NEW    AGENCY PROCESSING FEE
12/16/21,Dividend,EQ,NTDOY,0,-1.85,0,0,***NINTENDO CO Foreign Stk W/HCASH DIV  ON      27 SHS      REC 09/29/21 PAY 12/16/21     FRGN-W/H@SOURCE
12/16/21,Dividend,EQ,NTDOY,0,18.46,0,0,***NINTENDO CO LTD-ADR NEW    CASH DIV  ON      27 SHS      REC 09/29/21 PAY 12/16/21     FRGN-W/H@SOURCE
12/27/21,Dividend,EQ,VOO,0,1.53,0,0,VANGUARD S&P 500 ETF          CASH DIV  ON       1 SHS      REC 12/22/21 PAY 12/27/21     NON-QUALIFIED DIVIDEND
1/6/22,Transfer,UNKNOWN, ,0,200,0,0,ACH DEPOSIT                   REFID:43713938906;
1/10/22,Bought,EQ,MSFT,1,-309.83,309.83,0,MICROSOFT CORP
2/3/22,Bought,EQ,FB,1,-244.92,244.9193,0,META PLATFORMS INC            CLASS A COMMON STOCK
2/3/22,Sold,EQ,DAL,-5,202.49,40.5,0,DELTA AIR LINES INC DEL       COM
2/3/22,Bought,EQ,LEN,1,-95.87,95.865,0,LENNAR CORP                   CL A
2/3/22,Sold,EQ,UAL,-11,484.75,44.0687,0,UNITED AIRLINES HOLDINGS INC  COMMON STOCK
2/4/22,Bought,EQ,LEN,1,-91.29,91.29,0,LENNAR CORP                   CL A
2/8/22,Bought,EQ,FB,1,-217.76,217.7603,0,META PLATFORMS INC            CLASS A COMMON STOCK
2/10/22,Dividend,EQ,AAPL,0,1.1,0,0,APPLE INC                     CASH DIV  ON       5 SHS      REC 02/07/22 PAY 02/10/22
2/22/22,Bought,EQ,LEN,1,-86.73,86.7293,0,LENNAR CORP                   CL A
2/22/22,Bought,EQ,FB,1,-201.91,201.908,0,META PLATFORMS INC            CLASS A COMMON STOCK
2/22/22,Transfer,UNKNOWN, ,0,300,0,0,ACH DEPOSIT                   REFID:47363289906;
3/10/22,Dividend,EQ,MSFT,0,0.62,0,0,MICROSOFT CORP                CASH DIV  ON       1 SHS      REC 02/17/22 PAY 03/10/22
3/29/22,Dividend,EQ,VOO,0,1.37,0,0,VANGUARD S&P 500 ETF          CASH DIV  ON       1 SHS      REC 03/25/22 PAY 03/29/22     NON-QUALIFIED DIVIDEND
5/5/22,Bought,EQ,LEN,1,-79.72,79.72,0,LENNAR CORP                   CL A
5/5/22,Bought,EQ,NFLX,2,-383.84,191.92,0,NETFLIX INC                   COM
5/5/22,Transfer,UNKNOWN, ,0,500,0,0,ACH DEPOSIT                   REFID:52959032906;
5/6/22,Bought,EQ,NFLX,1,-181.32,181.3223,0,NETFLIX INC                   COM
5/6/22,Transfer,UNKNOWN, ,0,200,0,0,ACH DEPOSIT                   REFID:53108137906;
5/10/22,Bought,EQ,LEN,1,-75.63,75.63,0,LENNAR CORP                   CL A
5/10/22,Transfer,UNKNOWN, ,0,100,0,0,ACH DEPOSIT                   REFID:53363200906;
5/10/22,Dividend,EQ,LEN,0,1.13,0,0,LENNAR CORP                   CL A                          CASH DIV  ON       3 SHS      REC 04/26/22 PAY 05/10/22
5/11/22,Bought,EQ,LEN,1,-72.26,72.255,0,LENNAR CORP                   CL A
5/12/22,Dividend,EQ,AAPL,0,1.15,0,0,APPLE INC                     CASH DIV  ON       5 SHS      REC 05/09/22 PAY 05/12/22
5/17/22,Bought,EQ,AAPL,1,-147.96,147.96,0,APPLE INC
5/17/22,Transfer,UNKNOWN, ,0,200,0,0,ACH DEPOSIT                   REFID:53887605906;
5/18/22,Bought,EQ,LEN,1,-74.42,74.415,0,LENNAR CORP                   CL A
5/27/22,Bought,EQ,LEN,2,-160.99,80.495,0,LENNAR CORP                   CL A
5/27/22,Transfer,UNKNOWN, ,0,200,0,0,ACH DEPOSIT                   REFID:54638924906;
6/9/22,Dividend,EQ,MSFT,0,0.62,0,0,MICROSOFT CORP                CASH DIV  ON       1 SHS      REC 05/19/22 PAY 06/09/22
6/10/22,Bought,EQ,LEN,3,-226.17,75.39,0,LENNAR CORP                   CL A
6/10/22,Bought,EQ,LEN,1,-75.02,75.02,0,LENNAR CORP                   CL A
6/10/22,Transfer,UNKNOWN, ,0,250,0,0,ACH DEPOSIT                   REFID:55665446906;
6/13/22,Bought,EQ,LEN,3,-210.54,70.18,0,LENNAR CORP                   CL A
6/13/22,Transfer,UNKNOWN, ,0,200,0,0,ACH DEPOSIT                   REFID:55808950906;
6/15/22,Bought,EQ,LEN,3,-203.65,67.8825,0,LENNAR CORP                   CL A
