TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
1/15/20,Transfer,UNKNOWN, ,0.0,500.0,0.0,0.0,ACH DEPOSIT                   REFID:36126146482;
6/11/20,Transfer,UNKNOWN, ,0.0,1000.0,0.0,0.0,ACH DEPOSIT                   REFID:47431707482;
8/13/20,Transfer,UNKNOWN, ,0.0,400.0,0.0,0.0,ACH DEPOSIT                   REFID:52223355482;
11/16/20,Transfer,UNKNOWN, ,0.0,300.0,0.0,0.0,ACH DEPOSIT                   REFID:6762603906;
7/15/21,Transfer,UNKNOWN, ,0.0,1000.0,0.0,0.0,ACH DEPOSIT                   REFID:29838418906;
8/10/21,Transfer,UNKNOWN, ,0.0,500.0,0.0,0.0,ACH DEPOSIT                   REFID:31848145906;
11/26/21,Transfer,UNKNOWN, ,0.0,500.0,0.0,0.0,ACH DEPOSIT                   REFID:40475036906;
1/6/22,Transfer,UNKNOWN, ,0.0,200.0,0.0,0.0,ACH DEPOSIT                   REFID:43713938906;
2/22/22,Transfer,UNKNOWN, ,0.0,300.0,0.0,0.0,ACH DEPOSIT                   REFID:47363289906;
5/5/22,Transfer,UNKNOWN, ,0.0,500.0,0.0,0.0,ACH DEPOSIT                   REFID:52959032906;
5/6/22,Transfer,UNKNOWN, ,0.0,200.0,0.0,0.0,ACH DEPOSIT                   REFID:53108137906;
5/10/22,Transfer,UNKNOWN, ,0.0,100.0,0.0,0.0,ACH DEPOSIT                   REFID:53363200906;
5/17/22,Transfer,UNKNOWN, ,0.0,200.0,0.0,0.0,ACH DEPOSIT                   REFID:53887605906;
5/27/22,Transfer,UNKNOWN, ,0.0,200.0,0.0,0.0,ACH DEPOSIT                   REFID:54638924906;
6/10/22,Transfer,UNKNOWN, ,0.0,250.0,0.0,0.0,ACH DEPOSIT                   REFID:55665446906;
6/13/22,Transfer,UNKNOWN, ,0.0,200.0,0.0,0.0,ACH DEPOSIT                   REFID:55808950906;
6/15/22,Transfer,UNKNOWN, ,0.0,200.0,0.0,0.0,ACH DEPOSIT                   REFID:56023927906;
6/16/22,Transfer,UNKNOWN, ,0.0,150.0,0.0,0.0,ACH DEPOSIT                   REFID:56112924906;
